ID yoryeller~
Keywords ~
TT   1
Room 0
Mob  35000
Obj  0
Int  0
Plo  0
Clr  0
Code yoryeller~
ID ruger1~
Keywords ~
TT   1
Room 0
Mob  41019
Obj  0
Int  0
Plo  1
Clr  1
Code ruger1~
ID push statue~
Keywords ~
TT   1
Room 0
Mob  0
Obj  0
Int  0
Plo  0
Clr  0
Code ~
ID leprechaun~
Keywords ~
TT   1
Room 0
Mob  36004
Obj  0
Int  1
Plo  1
Clr  0
Code leprechau~
ID toreador~
Keywords ~
TT   1
Room 65201
Mob  0
Obj  0
Int  1
Plo  1
Clr  1
Code toreador~
ID good10~
Keywords ~
TT   1
Room 0
Mob  40825
Obj  0
Int  0
Plo  1
Clr  0
Code newbies~
ID good9~
Keywords ~
TT   1
Room 0
Mob  48125
Obj  0
Int  0
Plo  1
Clr  0
Code newbies~
ID good8~
Keywords ~
TT   1
Room 0
Mob  48080
Obj  0
Int  0
Plo  1
Clr  0
Code newbies~
ID good7~
Keywords ~
TT   1
Room 0
Mob  48079
Obj  0
Int  0
Plo  1
Clr  0
Code newbies~
ID good6~
Keywords ~
TT   1
Room 0
Mob  48078
Obj  0
Int  0
Plo  1
Clr  0
Code newbies~
ID good5~
Keywords ~
TT   1
Room 0
Mob  48058
Obj  0
Int  0
Plo  1
Clr  0
Code newbies~
ID good4~
Keywords ~
TT   1
Room 0
Mob  48028
Obj  0
Int  0
Plo  1
Clr  0
Code ~
ID good3~
Keywords ~
TT   1
Room 0
Mob  48027
Obj  0
Int  0
Plo  1
Clr  0
Code newbies~
ID good2~
Keywords ~
TT   1
Room 0
Mob  48181
Obj  0
Int  0
Plo  1
Clr  0
Code newbies~
ID good1~
Keywords ~
TT   1
Room 0
Mob  48026
Obj  0
Int  0
Plo  1
Clr  0
Code newbies~
ID good~
Keywords ~
TT   1
Room 0
Mob  48024
Obj  0
Int  0
Plo  1
Clr  0
Code newbies~
ID newbie1~
Keywords ~
TT   1
Room 0
Mob  48021
Obj  0
Int  0
Plo  0
Clr  1
Code giveprac~
ID evil12~
Keywords ~
TT   1
Room 0
Mob  24302
Obj  0
Int  0
Plo  1
Clr  0
Code newbies2~
ID evil11~
Keywords ~
TT   1
Room 0
Mob  24318
Obj  0
Int  0
Plo  1
Clr  0
Code newbies2~
ID evil10~
Keywords ~
TT   1
Room 0
Mob  24317
Obj  0
Int  0
Plo  1
Clr  0
Code newbies2~
ID evil9~
Keywords ~
TT   1
Room 0
Mob  24356
Obj  0
Int  0
Plo  1
Clr  0
Code newbies2~
ID evil8~
Keywords ~
TT   1
Room 0
Mob  24357
Obj  0
Int  0
Plo  1
Clr  0
Code newbies2~
ID evil7~
Keywords ~
TT   1
Room 0
Mob  24367
Obj  0
Int  0
Plo  1
Clr  0
Code newbies2~
ID evil6~
Keywords ~
TT   1
Room 0
Mob  24368
Obj  0
Int  0
Plo  1
Clr  0
Code newbies2~
ID evil5~
Keywords ~
TT   1
Room 0
Mob  24369
Obj  0
Int  0
Plo  1
Clr  0
Code newbies2~
ID evil4~
Keywords ~
TT   1
Room 0
Mob  24370
Obj  0
Int  0
Plo  1
Clr  0
Code ~
ID evil3~
Keywords ~
TT   1
Room 0
Mob  24371
Obj  0
Int  0
Plo  1
Clr  0
Code newbies2~
ID evil2~
Keywords ~
TT   1
Room 0
Mob  24372
Obj  0
Int  0
Plo  1
Clr  0
Code newbies2~
ID evil1~
Keywords ~
TT   1
Room 0
Mob  24374
Obj  0
Int  0
Plo  1
Clr  0
Code newbies2~
ID evil~
Keywords ~
TT   1
Room 0
Mob  24380
Obj  0
Int  0
Plo  1
Clr  0
Code newbies2~
ID blring~
Keywords dance~
TT   4
Room 0
Mob  0
Obj  31
Int  1
Plo  1
Clr  0
Code blring~
ID glamp1~
Keywords 'rub lamp'~
TT   4
Room 0
Mob  0
Obj  39001
Int  0
Plo  0
Clr  0
Code rublamp1~
ID 2~
Keywords drop token~
TT   4
Room 0
Mob  0
Obj  77
Int  0
Plo  1
Clr  1
Code slots2~
ID kwin1~
Keywords 'push statue'~
TT   4
Room 0
Mob  0
Obj  4309
Int  0
Plo  0
Clr  0
Code kwin1~
ID genie1~
Keywords wish~
TT   7
Room 0
Mob  39001
Obj  0
Int  0
Plo  0
Clr  0
Code genie1~
ID wps~
Keywords 'warpoints'~
TT   7
Room 0
Mob  70
Obj  0
Int  0
Plo  0
Clr  0
Code wps~
ID john~
Keywords 'Zanzibar'~
TT   7
Room 35526
Mob  0
Obj  0
Int  0
Plo  1
Clr  0
Code john~
ID return~
Keywords 'return'~
TT   7
Room 35815
Mob  0
Obj  0
Int  1
Plo  1
Clr  0
Code return~
ID psetprac~
Keywords 'Help me'~
TT   7
Room 0
Mob  48021
Obj  0
Int  0
Plo  0
Clr  0
Code psetprac~
ID gferryh~
Keywords 3699~
TT   13
Room 0
Mob  12240
Obj  0
Int  0
Plo  1
Clr  0
Code gferryh~
ID gferry~
Keywords 3699~
TT   13
Room 0
Mob  1494
Obj  0
Int  0
Plo  1
Clr  0
Code gferry~
ID eferryh~
Keywords 3699~
TT   13
Room 0
Mob  4659
Obj  0
Int  0
Plo  1
Clr  0
Code eferryh~
ID ruger2~
Keywords 37~
TT   13
Room 0
Mob  41019
Obj  0
Int  0
Plo  1
Clr  0
Code ruger2~
ID eferry~
Keywords 3699~
TT   13
Room 0
Mob  3698
Obj  0
Int  0
Plo  1
Clr  0
Code eferry~
END
