Grey-Elf      25 24 28 22 26 100 15 34 53 81  512      100   110  120  1 1 1
Human         25 25 25 25 25 100 25 30 53 81   0       100   100  100  0 0 0
Djinni        20 30 30 23 22 100 10 45 99 120 512      110   120  150  0 0 0
Lich          20 30 30 24 21 100 10 45 99 120 512      110   120  150  0 0 0
Dwarf         25 25 27 24 24 100 16 30 41 65   0       100   110   95  1 0 0
Duergar       25 24 26 25 25 100 16 30 41 65   0       100   110   95  1 0 0
Ogre          29 20 22 24 30 100 22 15 69 105 512	100   150  120  0 0 0
Troll         28 20 22 25 30 100 22 15 69 105 512	100   150  120  0 0 0
Draconian     24 27 29 22 24 100 12 31 48 72  524800    90   100  110  0 0 0
Dragonkin     24 27 28 22 25 100 12 31 48 72  524800    90   100  110  0 0 0
Sahuagin      25 28 25 30 25 100 20 22 26 50  8388608  110   108  120  0 0 0
Nymph         25 28 25 30 25 100 20 22 26 50  8388608  110   108  120  0 0 0
Minotaur      30 22 23 25 25 100 24 18 76 124 512       50   130  110  0 1 0
Shri-Kreen    30 22 23 25 25 100 24 18 76 124 512       50   130  110  0 0 0
Quickling     21 28 30 25 21 100 20 22 35 45  65536    110   108  120  0 0 0
Drow          21 28 30 25 21 100 20 22 35 45  65536    110   108  120  0 0 0
Cloud-Giant   29 20 22 25 29 100 25 12 86 144 512       90   130  120  0 1 0
Storm-Giant   29 22 20 25 29 100 25 12 86 144 512       90   130  120  0 1 0
Wild-Elf      25 24 28 22 26 100 15 34 53 81  512      100   110  120  1 1 1
Grey-Elf     -25 24 28 22 26 100 15 34 53 81  512      100   110  120  1 1 1
