Grumble1.are:ASklTaught 0 45
Grumble1.are:ASklTaught 1 63
abc17.are:ASklTaught 0 36
abc17.are:ASklTaught 1 102
abc17.are:ASklTaught 2 69
abc17.are:ASklTaught 3 79
abc17.are:ASklTaught 4 114
abc17.are:ASklTaught 5 39
assass01.are:ASklTaught 0 554
assass01.are:ASklTaught 1 551
assass01.are:ASklTaught 2 556
assass01.are:ASklTaught 3 550
assass01.are:ASklTaught 4 558
assassev.are:ASklTaught 0 554
assassev.are:ASklTaught 1 550
assassev.are:ASklTaught 2 551
assassev.are:ASklTaught 3 558
assassev.are:ASklTaught 4 556
aur3.are:ASklTaught 0 10
fed01.are:ASklTaught 0 569
fed01.are:ASklTaught 1 561
fed02.are:ASklTaught 0 564
fed02.are:ASklTaught 0 561
fed02.are:ASklTaught 1 569
fed02.are:ASklTaught 0 105
fed02.are:ASklTaught 1 18
fed02.are:ASklTaught 2 100
fed02.are:ASklTaught 3 94
fed02.are:ASklTaught 4 44
fed02.are:ASklTaught 5 45
fed02.are:ASklTaught 6 28
fed02.are:ASklTaught 0 12
fed02.are:ASklTaught 0 81
fed02.are:ASklTaught 1 106
fed02.are:ASklTaught 2 111
fed02.are:ASklTaught 3 107
fed02.are:ASklTaught 4 93
fed02.are:ASklTaught 5 99
fed02.are:ASklTaught 6 86
fed02.are:ASklTaught 0 568
fed02.are:ASklTaught 1 555
gex01.are:ASklTaught 0 127
gex02.are:ASklTaught 0 33
gex02.are:ASklTaught 1 30
gex02.are:ASklTaught 2 32
grumrock.are:ASklTaught 0 567
grumrock.are:ASklTaught 1 561
grumrock.are:ASklTaught 2 569
grumrock.are:ASklTaught 0 576
healers.are:ASklTaught 0 47
healers.are:ASklTaught 1 49
healers.are:ASklTaught 2 48
healers.are:ASklTaught 3 6
healers.are:ASklTaught 4 3
healers.are:ASklTaught 5 46
healers.are:ASklTaught 6 128
healers.are:ASklTaught 7 50
healerse.are:ASklTaught 0 3
healerse.are:ASklTaught 1 5
healerse.are:ASklTaught 2 46
healerse.are:ASklTaught 3 49
healerse.are:ASklTaught 4 48
healerse.are:ASklTaught 5 47
healerse.are:ASklTaught 6 50
healerse.are:ASklTaught 7 128
impact01.are:ASklTaught 0 552
impact01.are:ASklTaught 1 95
klaw01.are:ASklTaught 0 32
klaw01.are:ASklTaught 1 30
klaw01.are:ASklTaught 2 569
klaw01.are:ASklTaught 0 32
klaw01.are:ASklTaught 1 565
klaw01.are:ASklTaught 0 92
klaw01.are:ASklTaught 1 88
klaw01.are:ASklTaught 2 82
